,Unnamed: 0,keyword,location,polarity,date,quater
1560477,1560477,КАМАЗ,Belarus,0.0,2017-11-16,4
1560481,1560481,КАМАЗ,Belarus,0.0,2017-11-04,4
1560495,1560495,КАМАЗ,Belarus,0.0,2017-12-05,4
1560496,1560496,КАМАЗ,Belarus,0.0,2017-11-16,4
1560497,1560497,КАМАЗ,Belarus,0.0,2017-11-16,4
1560498,1560498,КАМАЗ,Belarus,0.0,2017-10-31,4
1560499,1560499,КАМАЗ,Belarus,0.0,2017-10-05,4
1560500,1560500,КАМАЗ,Belarus,0.0,2017-10-30,4
1560501,1560501,КАМАЗ,Belarus,0.0,2017-10-30,4
1560567,1560567,КАМАЗ,Belarus,0.0,2016-11-14,4
1560568,1560568,КАМАЗ,Belarus,0.0,2016-11-18,4
1560569,1560569,КАМАЗ,Belarus,0.0,2016-10-18,4
1560570,1560570,КАМАЗ,Belarus,0.0,2016-10-18,4
1560571,1560571,КАМАЗ,Belarus,0.0,2016-10-13,4
1560596,1560596,КАМАЗ,Belarus,0.0,2016-12-13,4
1560597,1560597,КАМАЗ,Belarus,0.0,2016-11-24,4
1560598,1560598,КАМАЗ,Belarus,0.0,2016-11-24,4
1560611,1560611,КАМАЗ,Belarus,0.0,2016-11-14,4
1560617,1560617,КАМАЗ,Belarus,0.0,2016-10-24,4
1560619,1560619,КАМАЗ,Belarus,0.0,2016-10-01,4
1560624,1560624,КАМАЗ,Belarus,0.0,2016-10-19,4
1560645,1560645,КАМАЗ,Belarus,0.0,2017-11-15,4
1560646,1560646,КАМАЗ,Belarus,0.0,2017-11-13,4
1560647,1560647,КАМАЗ,Belarus,0.0,2017-11-07,4
1560662,1560662,КАМАЗ,Belarus,0.0,2017-12-21,4
1560663,1560663,КАМАЗ,Belarus,0.0,2017-11-16,4
1560664,1560664,КАМАЗ,Belarus,0.0,2017-11-16,4
1560665,1560665,КАМАЗ,Belarus,0.0,2017-10-30,4
1560666,1560666,КАМАЗ,Belarus,0.0,2017-10-30,4
1560667,1560667,КАМАЗ,Belarus,0.0,2017-11-07,4
1560668,1560668,КАМАЗ,Belarus,0.0,2017-10-12,4
1560670,1560670,КАМАЗ,Belarus,0.0,2017-11-02,4
1560671,1560671,КАМАЗ,Belarus,0.0,2017-10-30,4
1560672,1560672,КАМАЗ,Belarus,0.0,2017-10-24,4
1560749,1560749,КАМАЗ,Belarus,0.0,2016-12-22,4
1560750,1560750,КАМАЗ,Belarus,0.0,2016-10-21,4
1560776,1560776,КАМАЗ,Belarus,0.0,2016-12-29,4
1560778,1560778,КАМАЗ,Belarus,0.0,2016-12-29,4
